




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (82)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endodermal cell fate determination (GO:0007493)	2	2	.01	+	 > 100	9.28E-05	7.82E-03
regulation of cardiac cell fate specification (GO:2000043)	2	2	.01	+	 > 100	9.28E-05	7.78E-03
cerebral cortex GABAergic interneuron fate commitment (GO:0021893)	2	2	.01	+	 > 100	9.28E-05	7.74E-03
cardiac cell fate determination (GO:0060913)	4	3	.02	+	 > 100	2.08E-06	3.63E-04
positive regulation of amacrine cell differentiation (GO:1902871)	3	2	.01	+	 > 100	1.54E-04	1.19E-02
stem cell fate specification (GO:0048866)	6	3	.02	+	 > 100	4.97E-06	7.42E-04
fat cell proliferation (GO:0070341)	4	2	.02	+	 > 100	2.31E-04	1.63E-02
positive regulation of Notch signaling pathway involved in heart induction (GO:0035481)	4	2	.02	+	 > 100	2.31E-04	1.62E-02
regulation of Notch signaling pathway involved in heart induction (GO:0035480)	4	2	.02	+	 > 100	2.31E-04	1.62E-02
negative regulation of cell fate specification (GO:0009996)	5	2	.02	+	 > 100	3.22E-04	2.11E-02
regulation of mesodermal cell fate specification (GO:0042661)	5	2	.02	+	 > 100	3.22E-04	2.10E-02
ductus arteriosus closure (GO:0097070)	5	2	.02	+	 > 100	3.22E-04	2.09E-02
regulation of cardioblast differentiation (GO:0051890)	8	3	.03	+	94.16	9.70E-06	1.31E-03
embryonic foregut morphogenesis (GO:0048617)	9	3	.04	+	83.70	1.29E-05	1.63E-03
negative regulation of apoptotic process involved in morphogenesis (GO:1902338)	6	2	.02	+	83.70	4.29E-04	2.68E-02
positive regulation of cardioblast differentiation (GO:0051891)	6	2	.02	+	83.70	4.29E-04	2.67E-02
regulation of heart induction (GO:0090381)	6	2	.02	+	83.70	4.29E-04	2.66E-02
G1 to G0 transition involved in cell differentiation (GO:0070315)	6	2	.02	+	83.70	4.29E-04	2.65E-02
negative regulation of apoptotic process involved in development (GO:1904746)	6	2	.02	+	83.70	4.29E-04	2.64E-02
sinoatrial node cell differentiation (GO:0060921)	6	2	.02	+	83.70	4.29E-04	2.63E-02
negative regulation of photoreceptor cell differentiation (GO:0046533)	6	2	.02	+	83.70	4.29E-04	2.61E-02
regulation of photoreceptor cell differentiation (GO:0046532)	6	2	.02	+	83.70	4.29E-04	2.60E-02
regulation of amacrine cell differentiation (GO:1902869)	6	2	.02	+	83.70	4.29E-04	2.59E-02
type II pneumocyte differentiation (GO:0060510)	6	2	.02	+	83.70	4.29E-04	2.58E-02
foregut morphogenesis (GO:0007440)	10	3	.04	+	75.33	1.67E-05	1.99E-03
leukotriene D4 biosynthetic process (GO:1901750)	10	3	.04	+	75.33	1.67E-05	1.97E-03
stem cell fate commitment (GO:0048865)	10	3	.04	+	75.33	1.67E-05	1.96E-03
regulation of endodermal cell differentiation (GO:1903224)	7	2	.03	+	71.74	5.50E-04	3.22E-02
lacrimal gland development (GO:0032808)	7	2	.03	+	71.74	5.50E-04	3.20E-02
regulation of mesodermal cell differentiation (GO:1905770)	7	2	.03	+	71.74	5.50E-04	3.19E-02
cardiac vascular smooth muscle cell differentiation (GO:0060947)	7	2	.03	+	71.74	5.50E-04	3.18E-02
cardiac cell fate commitment (GO:0060911)	14	4	.06	+	71.74	6.75E-07	1.41E-04
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	7	2	.03	+	71.74	5.50E-04	3.17E-02
specification of animal organ identity (GO:0010092)	18	5	.07	+	69.75	2.76E-08	8.84E-06
glutathione catabolic process (GO:0006751)	11	3	.04	+	68.48	2.12E-05	2.36E-03
leukotriene D4 metabolic process (GO:1901748)	12	3	.05	+	62.77	2.65E-05	2.78E-03
sinoatrial node development (GO:0003163)	12	3	.05	+	62.77	2.65E-05	2.77E-03
neuroblast differentiation (GO:0014016)	8	2	.03	+	62.77	6.85E-04	3.76E-02
paraxial mesoderm formation (GO:0048341)	8	2	.03	+	62.77	6.85E-04	3.74E-02
atrioventricular node development (GO:0003162)	8	2	.03	+	62.77	6.85E-04	3.73E-02
lung saccule development (GO:0060430)	9	2	.04	+	55.80	8.35E-04	4.37E-02
regulation of heart morphogenesis (GO:2000826)	9	2	.04	+	55.80	8.35E-04	4.35E-02
germ cell migration (GO:0008354)	9	2	.04	+	55.80	8.35E-04	4.34E-02
regulation of Wnt signaling pathway involved in heart development (GO:0003307)	9	2	.04	+	55.80	8.35E-04	4.32E-02
leukotriene biosynthetic process (GO:0019370)	21	4	.08	+	47.83	2.73E-06	4.46E-04
positive regulation of cardiocyte differentiation (GO:1905209)	16	3	.06	+	47.08	5.57E-05	5.29E-03
ureter development (GO:0072189)	17	3	.07	+	44.31	6.53E-05	5.96E-03
animal organ formation (GO:0048645)	40	7	.16	+	43.94	6.59E-10	3.56E-07
heart formation (GO:0060914)	18	3	.07	+	41.85	7.60E-05	6.81E-03
positive regulation of stem cell differentiation (GO:2000738)	24	4	.10	+	41.85	4.38E-06	6.73E-04
intestinal epithelial cell differentiation (GO:0060575)	24	4	.10	+	41.85	4.38E-06	6.67E-04
regulation of cardiocyte differentiation (GO:1905207)	27	4	.11	+	37.20	6.67E-06	9.60E-04
proximal/distal pattern formation (GO:0009954)	35	5	.14	+	35.87	5.12E-07	1.15E-04
cell fate commitment involved in formation of primary germ layer (GO:0060795)	29	4	.12	+	34.63	8.62E-06	1.20E-03
cell fate determination (GO:0001709)	44	6	.18	+	34.24	4.47E-08	1.35E-05
atrial cardiac muscle tissue development (GO:0003228)	22	3	.09	+	34.24	1.30E-04	1.03E-02
signal transduction involved in regulation of gene expression (GO:0023019)	23	3	.09	+	32.75	1.46E-04	1.14E-02
neural tube patterning (GO:0021532)	33	4	.13	+	30.43	1.37E-05	1.71E-03
cellular modified amino acid catabolic process (GO:0042219)	33	4	.13	+	30.43	1.37E-05	1.70E-03
regulation of cell fate specification (GO:0042659)	26	3	.10	+	28.97	2.04E-04	1.48E-02
leukotriene metabolic process (GO:0006691)	35	4	.14	+	28.70	1.70E-05	1.96E-03
heart growth (GO:0060419)	36	4	.14	+	27.90	1.89E-05	2.13E-03
regulation of animal organ formation (GO:0003156)	27	3	.11	+	27.90	2.26E-04	1.60E-02
mesodermal cell differentiation (GO:0048333)	28	3	.11	+	26.90	2.50E-04	1.70E-02
smooth muscle cell differentiation (GO:0051145)	38	4	.15	+	26.43	2.30E-05	2.52E-03
cardiac conduction system development (GO:0003161)	38	4	.15	+	26.43	2.30E-05	2.50E-03
digestive tract morphogenesis (GO:0048546)	48	5	.19	+	26.15	2.15E-06	3.66E-04
cardiac atrium morphogenesis (GO:0003209)	29	3	.12	+	25.97	2.75E-04	1.84E-02
neuron fate specification (GO:0048665)	31	3	.12	+	24.30	3.29E-04	2.13E-02
cell fate specification (GO:0001708)	85	8	.34	+	23.63	3.35E-09	1.55E-06
mesenchyme morphogenesis (GO:0072132)	54	5	.22	+	23.25	3.67E-06	5.70E-04
embryonic digestive tract development (GO:0048566)	33	3	.13	+	22.83	3.91E-04	2.49E-02
peptide catabolic process (GO:0043171)	33	3	.13	+	22.83	3.91E-04	2.48E-02
neuron fate commitment (GO:0048663)	68	6	.27	+	22.15	4.83E-07	1.11E-04
cardiac muscle tissue growth (GO:0055017)	34	3	.14	+	22.15	4.24E-04	2.67E-02
blood vessel remodeling (GO:0001974)	35	3	.14	+	21.52	4.59E-04	2.75E-02
dopaminergic neuron differentiation (GO:0071542)	35	3	.14	+	21.52	4.59E-04	2.74E-02
endocardial cushion development (GO:0003197)	47	4	.19	+	21.37	4.99E-05	4.89E-03
embryonic camera-type eye development (GO:0031076)	37	3	.15	+	20.36	5.35E-04	3.16E-02
cardiac atrium development (GO:0003230)	37	3	.15	+	20.36	5.35E-04	3.15E-02
icosanoid biosynthetic process (GO:0046456)	50	4	.20	+	20.09	6.25E-05	5.80E-03
negative regulation of Notch signaling pathway (GO:0045746)	38	3	.15	+	19.82	5.75E-04	3.30E-02
sulfur compound catabolic process (GO:0044273)	38	3	.15	+	19.82	5.75E-04	3.29E-02
forelimb morphogenesis (GO:0035136)	39	3	.16	+	19.31	6.18E-04	3.47E-02
forebrain generation of neurons (GO:0021872)	52	4	.21	+	19.31	7.22E-05	6.54E-03
myoblast differentiation (GO:0045445)	40	3	.16	+	18.83	6.62E-04	3.66E-02
regulation of cell fate commitment (GO:0010453)	40	3	.16	+	18.83	6.62E-04	3.64E-02
forebrain neuron differentiation (GO:0021879)	41	3	.16	+	18.37	7.09E-04	3.82E-02
cell fate commitment (GO:0045165)	250	18	1.00	+	18.08	1.68E-17	2.64E-13
cardiac ventricle morphogenesis (GO:0003208)	70	5	.28	+	17.93	1.21E-05	1.56E-03
mesoderm formation (GO:0001707)	71	5	.28	+	17.68	1.29E-05	1.64E-03
pituitary gland development (GO:0021983)	43	3	.17	+	17.52	8.08E-04	4.25E-02
mesoderm morphogenesis (GO:0048332)	73	5	.29	+	17.20	1.46E-05	1.76E-03
digestive tract development (GO:0048565)	132	9	.53	+	17.12	4.75E-09	2.07E-06
positive regulation of Notch signaling pathway (GO:0045747)	46	3	.18	+	16.38	9.72E-04	4.92E-02
heart looping (GO:0001947)	63	4	.25	+	15.94	1.46E-04	1.14E-02
regulation of Notch signaling pathway (GO:0008593)	95	6	.38	+	15.86	3.04E-06	4.86E-04
digestive system development (GO:0055123)	143	9	.57	+	15.80	9.19E-09	3.35E-06
somitogenesis (GO:0001756)	64	4	.25	+	15.69	1.54E-04	1.19E-02
regulation of stem cell differentiation (GO:2000736)	82	5	.33	+	15.31	2.49E-05	2.67E-03
odontogenesis of dentin-containing tooth (GO:0042475)	83	5	.33	+	15.13	2.63E-05	2.80E-03
embryonic heart tube development (GO:0035050)	83	5	.33	+	15.13	2.63E-05	2.78E-03
artery morphogenesis (GO:0048844)	67	4	.27	+	14.99	1.83E-04	1.37E-02
cardiac muscle cell differentiation (GO:0055007)	84	5	.33	+	14.95	2.78E-05	2.86E-03
formation of primary germ layer (GO:0001704)	120	7	.48	+	14.65	7.26E-07	1.44E-04
determination of heart left/right asymmetry (GO:0061371)	69	4	.27	+	14.56	2.03E-04	1.49E-02
embryonic heart tube morphogenesis (GO:0003143)	69	4	.27	+	14.56	2.03E-04	1.48E-02
limb morphogenesis (GO:0035108)	145	8	.58	+	13.85	1.68E-07	4.54E-05
appendage morphogenesis (GO:0035107)	145	8	.58	+	13.85	1.68E-07	4.47E-05
roof of mouth development (GO:0060021)	92	5	.37	+	13.65	4.20E-05	4.17E-03
pancreas development (GO:0031016)	74	4	.29	+	13.57	2.62E-04	1.77E-02
negative regulation of neuron differentiation (GO:0045665)	75	4	.30	+	13.39	2.76E-04	1.84E-02
outflow tract morphogenesis (GO:0003151)	75	4	.30	+	13.39	2.76E-04	1.83E-02
regionalization (GO:0003002)	342	18	1.36	+	13.22	3.02E-15	2.37E-11
cardiocyte differentiation (GO:0035051)	114	6	.45	+	13.22	8.25E-06	1.15E-03
embryonic limb morphogenesis (GO:0030326)	121	6	.48	+	12.45	1.14E-05	1.50E-03
embryonic appendage morphogenesis (GO:0035113)	121	6	.48	+	12.45	1.14E-05	1.49E-03
organ growth (GO:0035265)	101	5	.40	+	12.43	6.43E-05	5.90E-03
somite development (GO:0061053)	82	4	.33	+	12.25	3.81E-04	2.44E-02
cardiac chamber morphogenesis (GO:0003206)	124	6	.49	+	12.15	1.30E-05	1.64E-03
columnar/cuboidal epithelial cell differentiation (GO:0002065)	105	5	.42	+	11.96	7.67E-05	6.83E-03
regulation of BMP signaling pathway (GO:0030510)	105	5	.42	+	11.96	7.67E-05	6.80E-03
cardiac ventricle development (GO:0003231)	126	6	.50	+	11.96	1.42E-05	1.73E-03
gastrulation (GO:0007369)	169	8	.67	+	11.89	5.12E-07	1.13E-04
metanephros development (GO:0001656)	85	4	.34	+	11.82	4.35E-04	2.61E-02
embryonic organ morphogenesis (GO:0048562)	301	14	1.20	+	11.68	2.37E-11	2.65E-08
ear morphogenesis (GO:0042471)	130	6	.52	+	11.59	1.69E-05	1.96E-03
mesenchyme development (GO:0060485)	239	11	.95	+	11.56	4.27E-09	1.91E-06
anterior/posterior pattern specification (GO:0009952)	218	10	.87	+	11.52	2.34E-08	7.80E-06
inner ear morphogenesis (GO:0042472)	109	5	.43	+	11.52	9.09E-05	7.70E-03
determination of left/right symmetry (GO:0007368)	131	6	.52	+	11.50	1.76E-05	2.00E-03
limb development (GO:0060173)	181	8	.72	+	11.10	8.42E-07	1.65E-04
appendage development (GO:0048736)	181	8	.72	+	11.10	8.42E-07	1.63E-04
cardiac muscle tissue development (GO:0048738)	182	8	.72	+	11.04	8.77E-07	1.64E-04
determination of bilateral symmetry (GO:0009855)	137	6	.55	+	11.00	2.24E-05	2.48E-03
stem cell differentiation (GO:0048863)	183	8	.73	+	10.98	9.12E-07	1.68E-04
specification of symmetry (GO:0009799)	138	6	.55	+	10.92	2.33E-05	2.52E-03
icosanoid metabolic process (GO:0006690)	116	5	.46	+	10.82	1.20E-04	9.73E-03
mesonephros development (GO:0001823)	93	4	.37	+	10.80	6.02E-04	3.41E-02
embryonic skeletal system morphogenesis (GO:0048704)	94	4	.37	+	10.68	6.26E-04	3.51E-02
striated muscle tissue development (GO:0014706)	188	8	.75	+	10.68	1.11E-06	2.02E-04
artery development (GO:0060840)	95	4	.38	+	10.57	6.50E-04	3.62E-02
cardiac chamber development (GO:0003205)	168	7	.67	+	10.46	6.16E-06	9.03E-04
endothelium development (GO:0003158)	99	4	.39	+	10.14	7.55E-04	4.04E-02
neural precursor cell proliferation (GO:0061351)	100	4	.40	+	10.04	7.83E-04	4.17E-02
odontogenesis (GO:0042476)	126	5	.50	+	9.96	1.75E-04	1.33E-02
embryonic organ development (GO:0048568)	454	18	1.81	+	9.95	3.15E-13	8.22E-10
pattern specification process (GO:0007389)	457	18	1.82	+	9.89	3.50E-13	7.84E-10
mesoderm development (GO:0007498)	129	5	.51	+	9.73	1.94E-04	1.44E-02
embryonic skeletal system development (GO:0048706)	129	5	.51	+	9.73	1.94E-04	1.44E-02
regulation of animal organ morphogenesis (GO:2000027)	129	5	.51	+	9.73	1.94E-04	1.43E-02
segmentation (GO:0035282)	104	4	.41	+	9.66	9.01E-04	4.65E-02
cellular response to BMP stimulus (GO:0071773)	105	4	.42	+	9.57	9.33E-04	4.78E-02
response to BMP (GO:0071772)	105	4	.42	+	9.57	9.33E-04	4.76E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	105	4	.42	+	9.57	9.33E-04	4.75E-02
muscle tissue development (GO:0060537)	326	12	1.30	+	9.24	8.94E-09	3.34E-06
heart morphogenesis (GO:0003007)	249	9	.99	+	9.08	8.47E-07	1.62E-04
embryonic morphogenesis (GO:0048598)	591	21	2.35	+	8.92	1.92E-14	7.51E-11
mesenchymal cell differentiation (GO:0048762)	171	6	.68	+	8.81	7.40E-05	6.67E-03
morphogenesis of a branching structure (GO:0001763)	175	6	.70	+	8.61	8.37E-05	7.29E-03
central nervous system neuron differentiation (GO:0021953)	175	6	.70	+	8.61	8.37E-05	7.25E-03
regeneration (GO:0031099)	154	5	.61	+	8.15	4.28E-04	2.69E-02
sensory organ morphogenesis (GO:0090596)	279	9	1.11	+	8.10	2.10E-06	3.62E-04
glial cell differentiation (GO:0010001)	187	6	.74	+	8.06	1.19E-04	9.68E-03
